Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Albania,Europe,107167,3723.92,6921,240.5,952,1796,62.41,130,4.52,21,Clusters of cases
Kenya,Africa,105973,197.08,1772,3.3,325,1856,3.45,33,0.06,2,Community transmission
North Macedonia,Europe,102787,4933.67,3502,168.09,305,3137,150.57,74,3.55,11,Community transmission
China,Western Pacific,101945,6.93,219,0.01,25,4845,0.33,3,0,1,Clusters of cases
Puerto Rico,Americas,100584,3515.87,1327,46.38,287,2037,71.2,54,1.89,1,Community transmission
Republic of Korea,Western Pacific,90372,176.27,2691,5.25,344,1606,3.13,33,0.06,1,Clusters of cases
Kyrgyzstan,Europe,86251,1322.02,322,4.94,22,1466,22.47,8,0.12,2,Clusters of cases
Latvia,Europe,86186,4569.3,4667,247.43,376,1618,85.78,76,4.03,4,Community transmission
Ghana,Africa,84023,270.41,3770,12.13,1437,607,1.95,30,0.1,13,Community transmission
Sri Lanka,South-East Asia,83552,390.19,3035,14.17,310,476,2.22,26,0.12,5,Clusters of cases
Uzbekistan,Europe,79926,238.8,245,0.73,40,622,1.86,0,0,0,Clusters of cases
Zambia,Africa,78534,427.19,4031,21.93,1363,1091,5.93,71,0.39,32,Community transmission
Montenegro,Europe,75833,12074.05,2859,455.21,0,999,159.06,42,6.69,0,Clusters of cases
Norway,Europe,70034,1291.84,1719,31.71,0,622,11.47,15,0.28,0,Clusters of cases
Kosovo[1],Europe,69213,3720.37,2876,154.59,453,1589,85.41,27,1.45,4,Community transmission
Estonia,Europe,66628,5022.71,8183,616.87,1028,598,45.08,58,4.37,9,Clusters of cases
Singapore,Western Pacific,59948,1024.69,69,1.18,12,29,0.5,0,0,0,Sporadic cases
El Salvador,Americas,59866,922.97,631,9.73,0,1861,28.69,54,0.83,7,Community transmission
Mozambique,Africa,59350,189.89,3707,11.86,578,641,2.05,46,0.15,11,Community transmission
Uruguay,Americas,57994,1669.5,5179,149.09,632,608,17.5,34,0.98,5,Community transmission
Finland,Europe,56407,1018.04,2665,48.1,0,742,13.39,16,0.29,0,Community transmission
Afghanistan,Eastern Mediterranean,55759,143.23,113,0.29,26,2446,6.28,11,0.03,2,Clusters of cases
Luxembourg,Europe,55425,8854.15,1287,205.6,112,638,101.92,13,2.08,1,Community transmission
Cuba,Americas,50590,446.65,5229,46.17,811,324,2.86,24,0.21,2,Community transmission
Uganda,Africa,40357,88.23,144,0.31,22,334,0.73,1,0,0,Community transmission
Namibia,Africa,38847,1528.86,1364,53.68,203,424,16.69,22,0.87,6,Community transmission
Zimbabwe,Africa,36089,242.81,293,1.97,95,1463,9.84,27,0.18,5,Community transmission
Cameroon,Africa,35714,134.54,1965,7.4,1965,551,2.08,28,0.11,28,Community transmission
Cyprus,Europe,34707,2874.62,1447,119.85,283,231,19.13,2,0.17,0,Clusters of cases
Senegal,Africa,34520,206.16,1593,9.51,265,872,5.21,64,0.38,6,Community transmission
Côte d’Ivoire,Africa,32754,124.17,728,2.76,123,192,0.73,6,0.02,0,Community transmission
Malawi,Africa,31945,166.99,1203,6.29,147,1040,5.44,27,0.14,3,Community transmission
Sudan,Eastern Mediterranean,30417,69.37,181,0.41,0,1886,4.3,10,0.02,0,Community transmission
Australia,Western Pacific,28978,113.64,48,0.19,8,909,3.56,0,0,0,Clusters of cases
Botswana,Africa,28370,1206.4,1846,78.5,0,310,13.18,56,2.38,0,Community transmission
Thailand,South-East Asia,26073,37.35,474,0.68,42,84,0.12,1,0,1,Clusters of cases
Democratic Republic of the Congo,Africa,25912,28.93,833,0.93,121,707,0.79,7,0.01,0,Community transmission
Jamaica,Americas,23599,796.95,1920,64.84,336,425,14.35,26,0.88,3,Community transmission
Malta,Europe,22482,5091.69,1590,360.1,263,315,71.34,11,2.49,2,Clusters of cases
Angola,Africa,20807,63.31,288,0.88,25,508,1.55,9,0.03,2,Community transmission
Maldives,South-East Asia,19979,3696.09,1049,194.06,186,62,11.47,2,0.37,0,Clusters of cases
Madagascar,Africa,19831,71.62,233,0.84,0,297,1.07,5,0.02,0,Community transmission
Rwanda,Africa,18850,145.53,797,6.15,60,261,2.02,12,0.09,0,Community transmission
French Polynesia,Western Pacific,18414,6555.17,60,21.36,27,139,49.48,1,0.36,0,Sporadic cases
Mayotte,Africa,17600,6451.26,1808,662.72,739,110,40.32,18,6.6,8,Community transmission
Mauritania,Africa,17187,369.64,92,1.98,8,439,9.44,5,0.11,0,Community transmission
Eswatini,Africa,17014,1466.52,225,19.39,12,652,56.2,7,0.6,2,Community transmission
French Guiana,Americas,16627,5566.79,98,32.81,0,85,28.46,2,0.67,0,Community transmission
Guinea,Africa,15992,121.77,597,4.55,98,89,0.68,3,0.02,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,15642,89.38,412,2.35,54,1032,5.9,31,0.18,5,Community transmission
Cabo Verde,Africa,15324,2756.18,325,58.45,0,147,26.44,4,0.72,0,Community transmission
Gabon,Africa,14565,654.39,1012,45.47,1,83,3.73,8,0.36,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12493,109.56,184,1.61,45,250,2.19,3,0.03,0,Community transmission
Réunion,Africa,12416,1386.78,854,95.39,0,52,5.81,4,0.45,0,Community transmission
Belize,Americas,12293,3091.58,49,12.32,0,314,78.97,0,0,0,Community transmission
Burkina Faso,Africa,11982,57.32,185,0.89,0,142,0.68,3,0.01,0,Community transmission
Andorra,Europe,10866,14063.29,167,216.14,17,110,142.37,3,3.88,0,Community transmission
Lesotho,Africa,10491,489.72,30,1.4,0,292,13.63,7,0.33,0,Community transmission
Guadeloupe,Americas,9968,2491.23,358,89.47,0,164,40.99,1,0.25,0,Community transmission
Suriname,Americas,8929,1522.08,61,10.4,10,172,29.32,4,0.68,2,Clusters of cases
Congo,Africa,8820,159.84,195,3.53,0,128,2.32,1,0.02,0,Community transmission
Guyana,Americas,8585,1091.47,165,20.98,35,195,24.79,6,0.76,0,Clusters of cases
Bahamas,Americas,8519,2166.34,48,12.21,0,179,45.52,0,0,0,Clusters of cases
Mali,Africa,8376,41.36,77,0.38,11,353,1.74,5,0.02,1,Community transmission
South Sudan,Africa,7926,70.81,1342,11.99,577,93,0.83,7,0.06,6,Community transmission
Aruba,Americas,7891,7390.93,217,203.25,87,73,68.37,2,1.87,2,Community transmission
Trinidad and Tobago,Americas,7713,551.13,31,2.22,8,139,9.93,0,0,0,Community transmission
Guam,Western Pacific,7528,4460.38,10,5.93,1,131,77.62,1,0.59,0,Clusters of cases
Somalia,Eastern Mediterranean,7392,46.51,1146,7.21,135,243,1.53,35,0.22,4,Community transmission
Togo,Africa,6901,83.36,582,7.03,50,84,1.01,3,0.04,1,Community transmission
Martinique,Americas,6746,1797.66,100,26.65,0,45,11.99,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,6087,616.09,61,6.17,21,63,6.38,0,0,0,Sporadic cases
Iceland,Europe,6054,1774.1,9,2.64,5,29,8.5,0,0,0,Community transmission
Equatorial Guinea,Africa,6005,428.02,207,14.75,0,91,6.49,2,0.14,0,Community transmission
Benin,Africa,5634,46.47,200,1.65,0,70,0.58,0,0,0,Community transmission
Nicaragua,Americas,5142,77.62,36,0.54,0,173,2.61,1,0.02,0,Community transmission
Central African Republic,Africa,4997,103.46,1,0.02,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4740,19.58,7,0.03,0,172,0.71,2,0.01,0,Community transmission
Curaçao,Americas,4730,2882.51,43,26.2,22,22,13.41,0,0,0,Community transmission
Gambia,Africa,4712,194.98,158,6.54,21,150,6.21,6,0.25,2,Community transmission
Gibraltar,Europe,4238,12579.03,10,29.68,2,93,276.04,5,14.84,1,Clusters of cases
Chad,Africa,3973,24.19,124,0.75,0,140,0.85,6,0.04,0,Community transmission
Sierra Leone,Africa,3887,48.73,32,0.4,0,79,0.99,0,0,0,Community transmission
San Marino,Europe,3716,10949.38,224,660.03,0,74,218.04,2,5.89,0,Community transmission
Comoros,Africa,3571,410.65,69,7.93,0,144,16.56,1,0.11,0,Community transmission
Saint Lucia,Americas,3390,1846.13,255,138.87,34,36,19.6,4,2.18,1,Community transmission
Guinea-Bissau,Africa,3262,165.75,147,7.47,15,48,2.44,1,0.05,0,Community transmission
Jersey,Europe,3216,2955.88,3,2.76,1,69,63.42,1,0.92,0,Community transmission
Barbados,Americas,3068,1067.59,296,103,30,33,11.48,2,0.7,0,Community transmission
Mongolia,Western Pacific,2952,90.05,259,7.9,45,2,0.06,0,0,0,Clusters of cases
Eritrea,Africa,2847,80.28,162,4.57,0,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2646,2533.88,67,64.16,0,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2642,6927.66,18,47.2,0,52,136.35,0,0,0,Sporadic cases
Seychelles,Africa,2618,2662,217,220.65,26,11,11.18,1,1.02,0,Community transmission
Viet Nam,Western Pacific,2472,2.54,77,0.08,24,35,0.04,0,0,0,Clusters of cases
Yemen,Eastern Mediterranean,2314,7.76,134,0.45,25,635,2.13,15,0.05,0,Community transmission
Burundi,Africa,2217,18.64,183,1.54,8,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2114,5459.99,85,219.54,0,14,36.16,0,0,0,Clusters of cases
Sint Maarten,Americas,2057,4796.88,24,55.97,6,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2026,42.01,21,0.44,4,26,0.54,0,0,0,Clusters of cases
Liberia,Africa,2010,39.74,22,0.43,0,85,1.68,0,0,0,Community transmission
Monaco,Europe,1953,4976.56,80,203.85,0,24,61.16,2,5.1,0,Sporadic cases
Sao Tome and Principe,Africa,1786,814.93,176,80.31,0,29,13.23,8,3.65,1,Community transmission
Saint Vincent and the Grenadines,Americas,1628,1467.46,123,110.87,72,8,7.21,2,1.8,0,Community transmission
Saint Martin,Americas,1554,4019.76,35,90.54,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,1365,15.26,288,3.22,49,14,0.16,4,0.04,1,Community transmission
Bhutan,South-East Asia,867,112.36,1,0.13,0,1,0.13,0,0,0,Clusters of cases
Cambodia,Western Pacific,844,5.05,251,1.5,24,0,0,0,0,0,Sporadic cases
Guernsey,Europe,821,1299.13,9,14.24,2,14,22.15,0,0,0,Community transmission
Antigua and Barbuda,Americas,769,785.26,155,158.28,43,14,14.3,0,0,0,Clusters of cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,705,1132.11,6,9.63,0,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,658,1346.57,0,0,0,1,2.05,0,0,0,Sporadic cases
Saint Barthélemy,Americas,612,6191.2,79,799.19,0,0,0,0,0,0,Clusters of cases
Mauritius,Africa,610,47.96,7,0.55,0,10,0.79,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Isle of Man,Europe,484,569.2,34,39.98,9,25,29.4,0,0,0,No cases
Cayman Islands,Americas,444,675.59,16,24.35,6,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,415,1984.22,13,62.16,9,4,19.13,0,0,0,Community transmission
Brunei Darussalam,Western Pacific,187,42.74,2,0.46,1,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,153,506,0,0,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,143,248.45,0,0,0,2,3.47,0,0,0,Pending
Dominica,Americas,142,197.25,8,11.11,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,113,8.57,10,0.76,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,59,6.58,3,0.33,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,58,20.32,3,1.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,2,57.42,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
